symbol,date,open,high,low,close,volume
AUBANK,2023-01-17,624.95,630.45,621.65,628.0,995664
AUBANK,2023-01-18,630.0,632.0,625.0,629.5,658733
AUBANK,2023-01-19,628.55,630.8,618.85,621.25,607144
AUBANK,2023-01-20,627.85,629.15,613.9,616.35,1583943
AUBANK,2023-01-23,616.35,645.0,613.5,640.9,2321545
AUBANK,2023-01-24,642.5,642.5,630.45,634.7,878065
AUBANK,2023-01-25,633.5,634.95,613.5,615.9,1557125
AUBANK,2023-01-27,618.85,626.65,601.0,603.95,1776308
AUBANK,2023-01-30,604.0,613.65,598.5,606.25,1447773
AUBANK,2023-01-31,609.4,624.0,605.0,618.9,926518
AUBANK,2023-02-01,622.0,633.0,600.3,611.85,1069083
AUBANK,2023-02-02,610.0,627.55,607.0,625.35,894783
AUBANK,2023-02-03,628.0,631.25,615.0,629.15,611768
AUBANK,2023-02-06,629.25,640.7,627.0,632.05,668139
AUBANK,2023-02-07,632.5,650.0,630.15,649.0,1562892
AUBANK,2023-02-08,650.95,652.9,645.3,649.0,776186
AUBANK,2023-02-09,652.0,652.75,636.0,640.85,713809
AUBANK,2023-02-10,642.0,652.6,642.0,649.95,739083
AUBANK,2023-02-13,648.45,652.75,633.6,634.7,1050676
AUBANK,2023-02-14,634.7,636.5,628.1,633.0,491778
AUBANK,2023-02-15,635.2,638.75,629.55,633.95,848205
AUBANK,2023-02-16,639.0,639.7,623.35,626.45,546492
AUBANK,2023-02-17,626.0,626.0,604.5,613.5,1686927
AUBANK,2023-02-20,613.8,614.7,600.5,603.05,1506325
AUBANK,2023-02-21,607.05,611.5,599.45,605.1,1166085
AUBANK,2023-02-22,603.0,606.3,588.25,595.4,1077300
AUBANK,2023-02-23,596.0,598.75,585.0,593.4,1294389
AUBANK,2023-02-24,597.0,606.6,595.65,598.05,999140
AUBANK,2023-02-27,598.05,600.4,586.2,597.2,1169695
AUBANK,2023-02-28,596.75,606.0,589.5,592.9,1360975
AUBANK,2023-03-01,593.0,613.5,591.0,611.5,1079988
AUBANK,2023-03-02,611.0,620.0,605.85,611.35,1774214
AUBANK,2023-03-03,616.25,625.5,610.5,623.25,1615160
AUBANK,2023-03-06,625.9,630.0,622.0,624.55,1067601
AUBANK,2023-03-08,618.5,633.0,618.5,631.1,824314
AUBANK,2023-03-09,632.0,636.65,622.5,623.75,953543
AUBANK,2023-03-10,616.0,626.45,612.3,624.5,1421904
AUBANK,2023-03-13,619.0,622.35,594.05,596.45,3529195
AUBANK,2023-03-14,596.0,606.9,588.3,590.65,1493303
AUBANK,2023-03-15,596.75,599.65,580.25,583.2,862519
AUBANK,2023-03-16,582.0,588.95,573.85,584.0,1453328
AUBANK,2023-03-17,591.05,594.05,581.3,590.25,1049797
AUBANK,2023-03-20,585.05,592.05,573.05,577.1,899489
AUBANK,2023-03-21,581.2,582.6,568.8,579.6,1113971
